# Supplementary Table 3. Transcription units (TU) defined by SEnd-seq. TUs were defined based on E. coli genome NC_000913.3 and the TSS and TTS detected in this work. The genes covered by each TU are listed.,,,,,
start,stop,strand,length,genes_number,genes_names
408147,408495,+,349,1,yaiE
408147,409093,+,947,1,yaiE
404780,408561,-,3782,1,proC
408570,409093,+,524,0,none
408597,409093,+,497,0,none
409050,410049,-,1000,1,rdgC
404780,410049,-,5270,2,proC:rdgC
412226,412508,-,283,1,araJ
412226,412530,-,305,1,araJ
416202,419236,+,3035,2,phoR:phoB
417100,419236,+,2137,2,phoR:phoB
419418,422409,+,2992,2,brnQ:proY
419418,420961,+,1544,1,brnQ
419513,420961,+,1449,1,brnQ
420747,422409,+,1663,2,proY:brnQ
420747,420961,+,215,1,brnQ
420925,421122,-,198,0,none
421138,422409,+,1272,1,proY
424984,427789,+,2806,4,tgt:yajC:secD:queA
426054,427789,+,1736,4,queA:secD:tgt:yajC
426054,430527,+,4474,5,secD:secF:yajC:tgt:queA
426775,427789,+,1015,3,secD:yajC:tgt
426775,430527,+,3753,4,yajC:tgt:secF:secD
427114,427789,+,676,3,tgt:yajC:secD
427114,430527,+,3414,4,yajC:tgt:secF:secD
427203,427789,+,587,3,secD:tgt:yajC
427203,430527,+,3325,4,secD:secF:tgt:yajC
429049,430527,+,1479,2,secF:secD
429631,430527,+,897,1,secF
430575,431125,+,551,1,yajD
430962,432091,-,1130,1,tsx
431030,432091,-,1062,1,tsx
430962,432185,-,1224,1,tsx
431030,432185,-,1156,1,tsx
432277,432876,-,600,1,yajI
432958,435608,+,2651,4,nusB:ribE:ribD:nrdR
432974,435608,+,2635,4,nrdR:ribD:ribE:nusB
432277,433027,-,751,1,yajI
434504,435608,+,1105,3,ribD:nusB:ribE
437115,438284,-,1170,1,yajO
441467,443039,+,1573,1,thiI
442592,443039,+,448,1,thiI
443004,443744,-,741,2,panE:yajL
443004,444560,-,1557,2,panE:yajL
444602,445327,+,726,1,yajQ
443004,444639,-,1636,2,panE:yajL
444657,445327,+,671,1,yajQ
446773,451653,-,4881,5,cyoE:cyoC:cyoB:cyoD:cyoA
452011,454209,-,2199,2,yajG:ampG
454232,454867,+,636,1,bolA
454305,454867,+,563,1,bolA
454305,456495,+,2191,2,bolA:tig
454350,454867,+,518,1,bolA
454350,456495,+,2146,2,tig:bolA
454422,454867,+,446,1,bolA
454422,456495,+,2074,2,tig:bolA
454433,454867,+,435,1,bolA
454433,456495,+,2063,2,bolA:tig
454833,456495,+,1663,1,tig
454992,456495,+,1504,1,tig
454992,458758,+,3767,3,tig:clpX:clpP
456554,458758,+,2205,2,clpP:clpX
456576,458758,+,2183,2,clpX:clpP
456604,458758,+,2155,2,clpP:clpX
456604,461309,+,4706,3,clpX:clpP:lon
457335,458758,+,1424,1,clpX
458812,461309,+,2498,1,lon
458812,461784,+,2973,2,hupB:lon
458812,463858,+,5047,3,lon:hupB:ppiD
461331,461784,+,454,1,hupB
461331,463858,+,2528,2,hupB:ppiD
461394,461784,+,391,1,hupB
461394,463858,+,2465,2,hupB:ppiD
461394,464371,+,2978,3,ppiD:ybaV:hupB
461852,463858,+,2007,1,ppiD
461852,464371,+,2520,2,ybaV:ppiD
463909,464371,+,463,1,ybaV
463909,464841,+,933,2,ybaV:fadM
464347,464841,+,495,1,fadM
464806,465572,-,767,1,queC
464806,467348,-,2543,2,ybaE:queC
467368,468270,+,903,1,cof
467382,468270,+,889,1,cof
472027,472484,+,458,1,mdlB
473079,474299,+,1221,1,amtB
473225,474299,+,1075,1,amtB
473451,474299,+,849,1,amtB
474262,475201,-,940,1,tesB
475305,475987,+,683,1,ybaY
478737,479288,-,552,1,ylaC
478737,479944,-,1208,2,maa:ylaC
478737,480423,-,1687,4,ylaC:maa:tomB:hha
478737,480795,-,2059,4,tomB:hha:maa:ylaC
481213,482051,-,839,1,acrB
481213,482976,-,1764,1,acrB
481213,483154,-,1942,1,acrB
481213,485698,-,4486,2,acrB:acrA
481213,485980,-,4768,2,acrB:acrA
481213,486086,-,4874,2,acrB:acrA
486488,489933,+,3446,1,mscK
489276,489933,+,658,1,mscK
490858,492044,+,1187,2,ybaN:apt
489902,490888,-,987,2,ybaM:priC
491310,492044,+,735,1,apt
491310,495041,+,3732,4,apt:recR:dnaX:ybaB
489902,491439,-,1538,2,priC:ybaM
492055,495041,+,2987,3,recR:dnaX:ybaB
493838,495041,+,1204,3,recR:dnaX:ybaB
493864,495041,+,1178,3,recR:ybaB:dnaX
493876,495041,+,1166,3,ybaB:recR:dnaX
493876,497032,+,3157,4,dnaX:htpG:recR:ybaB
493964,495041,+,1078,3,ybaB:recR:dnaX
495075,497032,+,1958,1,htpG
495075,497939,+,2865,2,htpG:adk
497132,497939,+,808,1,adk
503438,504754,-,1317,1,fsr
504771,506670,+,1900,1,ushA
504868,506670,+,1803,1,ushA
504887,506670,+,1784,1,ushA
506569,507110,-,542,1,ybaK
506569,507157,-,589,1,ybaK
506569,508097,-,1529,2,ybaK:ybaP
507196,508097,-,902,1,ybaP
503438,508097,-,4660,3,fsr:ybaK:ybaP
508579,511411,-,2833,1,copA
514319,515825,-,1507,2,qmcA:ybbJ
514319,515868,-,1550,2,ybbJ:qmcA
514319,515880,-,1562,2,ybbJ:qmcA
515890,517400,+,1511,2,fetA:fetB
514319,518305,-,3987,3,qmcA:ybbN:ybbJ
517317,518305,-,989,1,ybbN
517362,518305,-,944,1,ybbN
517317,518442,-,1126,2,ybbO:ybbN
517362,518442,-,1081,2,ybbN:ybbO
519163,522874,+,3712,2,ybbA:ybbP
517317,519327,-,2011,3,tesA:ybbO:ybbN
517362,519327,-,1966,3,tesA:ybbO:ybbN
517317,519797,-,2481,3,tesA:ybbO:ybbN
517362,519797,-,2436,3,tesA:ybbO:ybbN
532388,533861,+,1474,2,allR:allA
532614,533861,+,1248,2,allA:allR
532964,533861,+,898,1,allR
532964,537511,+,4548,4,hyi:glxR:gcl:allR
532982,533861,+,880,1,allR
533631,533861,+,231,1,allR
533631,537511,+,3881,4,hyi:allR:gcl:glxR
540136,540547,+,412,1,allB
540346,540547,+,202,1,allB
541948,543111,+,1164,1,glxK
543191,544570,-,1380,2,allC:allE
543191,544581,-,1391,2,allC:allE
554415,556036,+,1622,1,cysS
553872,554491,-,620,2,lpxH:ppiB
554495,556036,+,1542,1,cysS
553872,554558,-,687,2,ppiB:lpxH
554575,556036,+,1462,1,cysS
556626,557024,-,399,2,ybcJ:folD
556626,557781,-,1156,2,folD:ybcJ
564715,566013,-,1299,1,intD
566828,568708,+,1881,3,emrE:insE1:insF1
567942,568708,+,767,2,insF1:emrE
568290,568708,+,419,1,emrE
571363,572349,+,987,2,ybcM:ybcL
571808,572349,+,542,1,ybcM
574366,576870,-,2505,1,insH1
574476,576870,-,2395,1,insH1
578443,578921,-,479,1,borD
583595,584668,+,1074,1,appY
584631,585664,-,1034,1,ompT
584631,585778,-,1148,1,ompT
601928,603413,+,1486,1,pheP
602399,603413,+,1015,1,pheP
603118,603413,+,296,1,pheP
603374,604685,-,1312,1,ybdG
603374,605453,-,2080,2,ybdG:nfsB
604738,605453,-,716,1,nfsB
604738,605912,-,1175,2,nfsB:ybdF
603374,605912,-,2539,3,nfsB:ybdG:ybdF
604738,606223,-,1486,3,ybdJ:nfsB:ybdF
608769,609180,-,412,0,none
608769,609230,-,462,0,none
608769,609432,-,664,0,none
616051,618089,+,2039,1,entF
623507,624727,-,1221,1,fepB
638434,639666,+,1233,1,ahpC
638628,639666,+,1039,1,ahpC
637773,638633,-,861,1,dsbG
638692,639666,+,975,1,ahpC
637773,638733,-,961,1,dsbG
637773,638781,-,1009,1,dsbG
638880,639666,+,787,1,ahpC
638880,641378,+,2499,2,ahpF:ahpC
640342,641378,+,1037,1,ahpF
640349,641378,+,1030,1,ahpF
641343,641903,-,561,1,uspG
641386,641903,-,518,1,uspG
644017,645034,-,1018,1,rna
652598,654579,+,1982,2,citA:citB
652756,654579,+,1824,2,citB:citA
654546,655753,-,1208,1,dcuC
654546,656022,-,1477,1,dcuC
656526,657548,+,1023,2,cspE:pagP
657215,657548,+,334,1,cspE
657249,657548,+,300,1,cspE
657933,659221,+,1289,1,tatE
657965,659221,+,1257,1,tatE
657517,657968,-,452,1,flc
657517,657997,-,481,1,flc
658820,659221,+,402,1,tatE
658872,659221,+,350,1,tatE
658899,659221,+,323,1,tatE
659189,660301,-,1113,1,lipA
661596,662311,-,716,1,lipB
661596,662706,-,1111,2,ybeD:lipB
662338,662706,-,369,1,ybeD
662338,664001,-,1664,2,ybeD:dacA
662671,664001,-,1331,1,dacA
661596,664001,-,2406,3,ybeD:lipB:dacA
662338,665332,-,2995,4,mrdB:rlpA:ybeD:dacA
662671,665332,-,2662,3,rlpA:mrdB:dacA
662671,669072,-,6402,6,rlpA:mrdA:mrdB:rlmH:rsfS:dacA
671541,672998,-,1458,3,holA:leuS:lptE
671541,673264,-,1724,3,holA:leuS:lptE
671541,674845,-,3305,3,holA:leuS:lptE
674861,675562,+,702,1,ybeL
671541,674922,-,3382,3,lptE:leuS:holA
674936,675562,+,627,1,ybeL
674992,675562,+,571,1,ybeL
683423,684438,-,1016,1,rihA
686682,689004,-,2323,2,insH1:gltI
684493,689004,-,4512,5,insH1:gltJ:gltK:gltL:gltI
686682,689040,-,2359,2,insH1:gltI
684493,689040,-,4548,5,gltI:gltL:gltK:gltJ:insH1
686682,689051,-,2370,2,insH1:gltI
684493,689051,-,4559,5,gltK:gltJ:insH1:gltI:gltL
689296,691882,-,2587,3,lnt:ybeX:ybeY
689296,693429,-,4134,4,ybeX:ybeZ:ybeY:lnt
689296,693469,-,4174,4,ybeY:ybeZ:ybeX:lnt
693498,694992,-,1495,1,miaB
695011,696427,+,1417,1,ubiF
693498,695020,-,1523,1,miaB
695076,696427,+,1352,1,ubiF
696396,697166,-,771,7,glnX:metT:metU:glnU:leuW:glnV:glnW
696396,697270,-,875,7,metU:metT:glnX:glnW:leuW:glnV:glnU
697471,699222,-,1752,1,asnB
699420,700352,-,933,1,umpH
697471,700352,-,2882,2,asnB:umpH
699420,701865,-,2446,3,umpH:nagC:nagA
703259,705968,+,2710,1,nagE
703323,705968,+,2646,1,nagE
699420,703706,-,4287,4,nagC:nagA:umpH:nagB
703839,705968,+,2130,1,nagE
705998,707981,+,1984,1,glnS
706062,707981,+,1920,1,glnS
710155,710723,-,569,2,uof:fur
710155,710828,-,674,2,fur:uof
710155,711521,-,1367,3,fldA:uof:fur
710155,711952,-,1798,4,fldA:ybfE:fur:uof
711982,712672,-,691,1,ybfF
712680,715243,+,2564,2,pgm:seqA
710155,712835,-,2681,5,fldA:ybfF:ybfE:uof:fur
711982,712835,-,854,1,ybfF
710155,712843,-,2689,5,uof:fur:fldA:ybfE:ybfF
711982,712843,-,862,1,ybfF
712850,715243,+,2394,2,seqA:pgm
712945,715243,+,2299,2,pgm:seqA
713286,715243,+,1958,2,seqA:pgm
716902,718247,-,1346,1,potE
720990,721772,-,783,2,kdpD:kdpE
720990,722209,-,1220,2,kdpE:kdpD
720990,724410,-,3421,3,kdpD:kdpC:kdpE
720990,724489,-,3500,3,kdpD:kdpC:kdpE
720990,724739,-,3750,3,kdpD:kdpE:kdpC
729071,729394,+,324,1,ybfA
753129,754671,-,1543,1,gltA
753129,754683,-,1555,1,gltA
753129,754775,-,1647,1,gltA
753129,754795,-,1667,1,gltA
754954,758487,+,3534,4,sdhD:sdhC:sdhA:sdhB
758036,758487,+,452,1,sdhB
758553,765148,+,6596,4,sucC:sucD:sucA:sucB
758584,765148,+,6565,4,sucA:sucB:sucD:sucC
761183,765148,+,3966,4,sucD:sucC:sucB:sucA
763036,765148,+,2113,2,sucC:sucD
765063,765899,-,837,1,mngR
771169,774372,+,3204,4,cydB:cydX:ybgE:cydA
771169,774648,+,3480,4,cydA:ybgE:cydB:cydX
771203,774372,+,3170,4,cydA:cydX:cydB:ybgE
771203,774648,+,3446,4,cydA:cydB:cydX:ybgE
771212,774372,+,3161,4,ybgE:cydX:cydB:cydA
771212,774648,+,3437,4,cydX:cydB:ybgE:cydA
771285,774372,+,3088,4,cydA:ybgE:cydB:cydX
771285,774648,+,3364,4,cydX:cydB:ybgE:cydA
774710,779673,+,4964,7,ybgC:tolR:pal:tolQ:ybgF:tolA:tolB
774710,780434,+,5725,7,tolB:tolA:ybgF:tolQ:pal:tolR:ybgC
775419,779673,+,4255,6,tolB:tolA:tolR:tolQ:ybgF:pal
775419,780434,+,5016,6,tolB:tolA:ybgF:tolQ:pal:tolR
777472,779673,+,2202,4,tolB:tolA:ybgF:pal
777472,780434,+,2963,4,pal:ybgF:tolA:tolB
777537,779673,+,2137,4,ybgF:pal:tolB:tolA
777537,780434,+,2898,4,tolB:tolA:ybgF:pal
777700,779673,+,1974,3,ybgF:pal:tolB
777700,780434,+,2735,3,ybgF:pal:tolB
780511,781685,+,1175,7,lysQ:valZ:lysY:lysW:lysT:lysZ:valT
782002,783942,+,1941,2,pnuC:nadA
783124,783942,+,819,2,pnuC:nadA
783840,784847,-,1008,1,zitB
783840,784858,-,1019,1,zitB
783840,785462,-,1623,2,ybgS:zitB
784890,785462,-,573,1,ybgS
785550,786824,+,1275,1,aroG
785591,786824,+,1234,1,aroG
786791,787670,-,880,1,gpmA
786791,787682,-,892,1,gpmA
786791,789010,-,2220,3,galM:galK:gpmA
787768,789010,-,1243,2,galK:galM
787768,789168,-,1401,2,galM:galK
787768,792086,-,4319,4,galE:galT:galM:galK
792262,793814,-,1553,1,modF
794478,794954,+,477,1,acrZ
794579,794954,+,376,1,acrZ
792262,794662,-,2401,2,modE:modF
795061,797717,+,2657,3,modA:modC:modB
796802,797717,+,916,1,modC
798282,799621,+,1340,1,pgl
797514,798466,-,953,1,ybhA
798554,799621,+,1068,1,pgl
797514,798590,-,1077,1,ybhA
807396,807928,-,533,1,ybhB
807396,809291,-,1896,2,bioA:ybhB
813494,815826,+,2333,1,uvrB
815606,815826,+,221,0,none
815579,816671,-,1093,1,ybhK
815579,816712,-,1134,1,ybhK
815579,816801,-,1223,1,ybhK
816827,819789,+,2963,5,moaD:moaA:moaB:moaE:moaC
816913,819789,+,2877,5,moaD:moaB:moaA:moaC:moaE
816913,820631,+,3719,6,moaC:ybhL:moaE:moaD:moaA:moaB
819857,820631,+,775,1,ybhL
824506,825079,+,574,1,ybhQ
824590,825079,+,490,1,ybhQ
824600,825079,+,480,1,ybhQ
824939,825309,-,371,1,ybhR
824939,830670,-,5732,5,ybiH:ybhR:ybhF:ybhG:ybhS
833042,836250,+,3209,2,ybiB:dinG
833042,837469,+,4428,3,ybiB:ybiC:dinG
833042,837624,+,4583,3,ybiB:ybiC:dinG
835180,836250,+,1071,2,dinG:ybiB
835180,837469,+,2290,3,ybiB:dinG:ybiC
835180,837624,+,2445,3,dinG:ybiC:ybiB
836317,837469,+,1153,1,ybiC
836317,837624,+,1308,1,ybiC
837435,838216,-,782,2,ybiJ:ybiI
837435,838483,-,1049,2,ybiI:ybiJ
838495,839244,+,750,0,none
838575,839244,+,670,0,none
843165,843614,-,450,1,ybiO
845560,848047,-,2488,3,glnH:glnP:glnQ
847199,848047,-,849,1,glnH
845560,848198,-,2639,3,glnQ:glnP:glnH
847199,848198,-,1000,1,glnH
848340,848950,-,611,1,dps
847199,848950,-,1752,2,dps:glnH
848340,849003,-,664,1,dps
850127,851010,+,884,1,ompX
848340,850130,-,1791,2,dps:rhtA
849166,850130,-,965,1,rhtA
850211,851010,+,800,1,ompX
850222,851010,+,789,1,ompX
850407,851010,+,604,1,ompX
850416,851010,+,595,1,ompX
850979,852713,-,1735,1,ybiP
850979,853047,-,2069,2,mntS:ybiP
853073,854807,+,1735,2,mntR:ybiR
853082,854807,+,1726,2,ybiR:mntR
853118,854807,+,1690,2,mntR:ybiR
